Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,Team,League
,Beasley Jeremy,11,5,2,0,0,0,251,64.0,43,1,76,22,0,4,3,13,8,1.13,2.64,2.65,1.02,266,73,69,-1.51,0.4%,30.3%,8.8%,21.5%,29,R,Hanshin Tigers,WL
,Betances Jose,18,2,1,0,0,0,133,28.1,23,1,25,23,0,7,5,18,16,5.08,5.46,4.65,1.62,59,151,121,-0.38,0.8%,18.8%,17.3%,1.5%,25,R,Hanshin Tigers,WL
,Duplantier Jon,2,1,0,0,0,0,33,8.2,6,0,14,2,0,0,0,0,0,0.00,1.05,1.16,0.92,999,29,30,-1.05,0.0%,42.4%,6.1%,36.4%,30,R,Hanshin Tigers,WL
,Guerra Javy,27,1,3,3,0,0,122,26.2,30,0,31,9,0,2,6,14,7,2.36,2.51,3.00,1.46,128,69,78,-0.15,0.0%,25.4%,7.4%,18.0%,29,R,Hanshin Tigers,WL
,Hatake Seishu,5,0,0,0,0,0,21,3.2,8,1,2,3,1,0,2,5,4,9.82,8.50,5.28,3.00,31,235,137,1.32,4.8%,9.5%,14.3%,-4.8%,31,R,Hanshin Tigers,WL
,Hayakawa Daiki,12,6,1,0,0,0,258,62.2,52,5,37,17,0,3,1,24,22,3.16,4.41,4.02,1.10,95,122,105,-1.25,1.9%,14.3%,6.6%,7.8%,25,R,Hanshin Tigers,WL
,Ibaragi Hidetoshi,2,0,0,0,0,0,15,3.2,4,0,5,1,0,0,0,2,2,4.91,1.68,2.13,1.36,61,47,55,3.23,0.0%,33.3%,6.7%,26.7%,21,R,Hanshin Tigers,WL
,Ihara Takato,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.59,1.47,0.00,999,44,38,-1.59,0.0%,33.3%,0.0%,33.3%,24,L,Hanshin Tigers,WL
,Ishiguro Yuya,8,1,0,3,0,0,32,8.0,4,0,9,3,0,0,0,1,0,0.00,2.47,2.92,0.88,999,68,76,-2.47,0.0%,28.1%,9.4%,18.8%,24,R,Hanshin Tigers,WL
,Ishii Daichi,1,0,0,0,0,0,3,1.0,0,0,3,0,0,0,0,0,0,0.00,-2.41,-5.20,0.00,999,-67,-135,2.41,0.0%,100.0%,0.0%,100.0%,27,R,Hanshin Tigers,WL
,Itoh Masashi,8,3,1,0,0,0,182,44.0,47,1,33,8,0,2,0,16,15,3.07,3.07,3.43,1.25,98,85,89,-0.00,0.5%,18.1%,4.4%,13.7%,29,L,Hanshin Tigers,WL
,Itoh Ryo,15,3,7,0,0,0,297,68.0,68,3,44,31,0,3,3,27,26,3.44,4.37,4.36,1.46,88,121,113,-0.93,1.0%,14.8%,10.4%,4.4%,25,L,Hanshin Tigers,WL
,Iwasada Yuta,16,1,0,0,0,0,61,16.0,9,0,13,4,0,0,1,1,0,0.00,2.72,3.32,0.81,999,75,86,-2.72,0.0%,21.3%,6.6%,14.8%,33,L,Hanshin Tigers,WL
,Kawahara Riku,13,1,3,0,0,0,97,20.1,21,1,10,15,0,1,2,18,15,6.64,5.61,5.32,1.77,45,155,138,1.03,1.0%,10.3%,15.5%,-5.2%,24,L,Hanshin Tigers,WL
,Kesamaru Yuki,8,4,0,0,0,0,123,29.0,23,1,19,16,0,0,1,9,7,2.17,4.39,4.56,1.34,139,121,118,-2.22,0.8%,15.4%,13.0%,2.4%,19,R,Hanshin Tigers,WL
,Kinoshita Rito,22,1,3,0,0,0,97,22.2,21,0,20,9,0,1,2,8,7,2.78,3.15,3.67,1.32,108,87,95,-0.37,0.0%,20.6%,9.3%,11.3%,24,R,Hanshin Tigers,WL
