Rank,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
,Murakami Shoki,24,12,4,0,0,3,3,633,163.1,121,8,132,25,4,7,2,38,38,2.09,2.57,3.11,0.89,138,81,87,-0.48,1.3%,20.9%,3.9%,16.9%,38.7%,15.8%,77.9%,10.8%,28.0%,90.8,27,R,Hanshin Tigers,CL
,Saiki Hiroto,23,12,6,0,0,3,2,614,151.2,118,6,117,44,3,1,1,27,27,1.60,2.83,3.61,1.07,181,89,101,-1.23,1.0%,19.1%,7.2%,11.9%,42.0%,12.6%,78.9%,10.0%,27.0%,93.3,26,R,Hanshin Tigers,CL
,Morishita Masato,22,6,14,0,0,3,0,622,152.1,140,6,92,37,3,5,1,53,42,2.48,3.10,3.92,1.16,124,92,110,-0.62,1.0%,14.8%,5.9%,8.8%,52.0%,11.8%,82.2%,8.7%,25.7%,91.1,27,R,Hiroshima Carp,CL
,Tokoda Hiroki,25,9,11,0,0,6,3,686,168.2,148,13,101,39,3,1,4,57,53,2.83,3.48,3.90,1.11,109,103,109,-0.65,1.9%,14.7%,5.7%,9.0%,47.2%,12.5%,82.1%,8.3%,28.0%,88.9,30,L,Hiroshima Carp,CL
,Azuma Katsuki,23,14,8,0,0,2,0,622,155.1,134,14,120,23,0,5,0,46,35,2.03,3.13,3.24,1.01,150,94,91,-1.10,2.3%,19.3%,3.7%,15.6%,46.6%,14.5%,79.8%,9.9%,30.8%,88.7,29,L,DeNA BayStars,CL
,Jackson Andre,23,10,6,0,0,0,0,594,140.2,126,8,101,49,3,9,7,43,37,2.37,3.50,3.92,1.24,129,105,110,-1.13,1.3%,17.0%,8.2%,8.8%,52.9%,12.6%,79.2%,9.7%,27.2%,94.2,29,R,DeNA BayStars,CL
,Kay Anthony,22,9,6,0,0,1,1,568,147.0,105,7,120,35,2,3,1,28,28,1.71,2.73,3.30,0.95,179,82,92,-1.02,1.2%,21.1%,6.2%,15.0%,57.7%,15.8%,75.7%,11.8%,28.9%,94.5,30,L,DeNA BayStars,CL
,Yamasaki Iori,22,10,4,0,0,1,0,569,144.2,109,8,122,31,6,5,4,32,28,1.74,2.74,3.20,0.97,169,85,90,-1.00,1.4%,21.4%,5.4%,16.0%,55.8%,16.2%,77.1%,10.9%,28.3%,91.9,26,R,Yomiuri Giants,CL
,Matsuba Takahiro,23,7,11,0,0,1,0,595,145.2,136,9,61,37,1,7,1,45,44,2.72,3.84,4.40,1.19,103,125,123,-1.12,1.5%,10.3%,6.2%,4.0%,50.4%,12.1%,85.5%,6.5%,26.1%,84.3,34,L,Chunichi Dragons,CL
,Takahashi Hiroto,24,6,10,0,0,3,2,636,158.1,136,11,122,44,2,5,9,55,52,2.96,3.25,3.57,1.14,95,106,100,-0.29,1.7%,19.2%,6.9%,12.3%,56.1%,15.7%,74.1%,12.6%,26.6%,94.4,22,R,Chunichi Dragons,CL
