                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
0             Aoyagi Koyo  12   2   3   0    0   0    0  269   61.0   66   2   35  21    1   6   1  31  25    3.69   3.69   4.28   1.43   78  113    118    0.00   0.7%  13.0%   7.8%    5.2%  30  R      Hanshin Tigers     CL
1          Beasley Jeremy  14   8   3   0    0   1    0  305   76.2   53   6   75  24    0   5   4  23  21    2.47   3.28   3.13   1.00  116  101     86   -0.81   2.0%  24.6%   7.9%   16.7%  28  R      Hanshin Tigers     CL
2             Guerra Javy  59   1   4  14   31   0    0  226   58.0   47   3   48  11    1   0   2  10  10    1.55   2.67   3.16   1.00  185   82     87   -1.12   1.3%  21.2%   4.9%   16.3%  28  R      Hanshin Tigers     CL
3          Hamachi Masumi  18   0   0   0    0   0    0   83   21.1   17   2    9   2    1   0   1   6   5    2.11   3.74   3.96   0.89  136  115    109   -1.63   2.4%  10.8%   2.4%    8.4%  26  R      Hanshin Tigers     CL
4           Ishiguro Yuya   3   0   0   0    0   0    0   16    3.1    6   0    3   1    0   0   0   2   2    5.40   2.19   3.55   2.10   53   67     98    3.21   0.0%  18.8%   6.2%   12.6%  23  R      Hanshin Tigers     CL
5            Ishii Daichi  56   4   1   1   30   0    0  189   48.2   34   0   58  14    4   0   5  12   8    1.48   1.57   2.47   0.99  194   48     68   -0.09   0.0%  30.7%   7.4%   23.3%  26  R      Hanshin Tigers     CL
6            Itoh Masashi  18   4   5   0    0   1    0  323   74.0   90   5   33  16    0   2   1  46  38    4.62   3.80   4.27   1.43   62  117    117    0.82   1.5%  10.2%   5.0%    5.2%  28  L      Hanshin Tigers     CL
7            Iwasada Yuta   2   0   1   0    0   0    0    9    1.2    1   0    2   2    1   1   0   2   1    5.40   6.09   4.80   1.80   53  187    132   -0.69   0.0%  22.2%  22.2%    0.0%  32  L      Hanshin Tigers     CL
8          Iwazaki Suguru  60   4   4  23   17   0    0  231   57.1   48   3   46  15    1   0   1  14  14    2.20   2.95   3.46   1.10  131   91     95   -0.75   1.3%  19.9%   6.5%   13.4%  33  L      Hanshin Tigers     CL
9              Kajiya Ren  13   2   0   0    1   0    0   54   12.0   11   0   12   7    1   1   2   8   6    4.50   3.09   3.87   1.50   64   95    106    1.41   0.0%  22.2%  13.0%    9.2%  32  R      Hanshin Tigers     CL
10          Kawahara Riku   1   0   0   0    0   0    0    5    1.0    1   0    2   1    0   0   0   0   0    0.00   2.09   2.80   2.00  999   64     77   -2.09   0.0%  40.0%  20.0%   20.0%  23  L      Hanshin Tigers     CL
11       Kirishiki Takuma  70   3   1   0   40   0    0  263   65.1   48   0   60  18    5   4   1  14  13    1.79   2.26   3.20   1.01  161   69     88   -0.47   0.0%  22.8%   6.8%   16.0%  25  L      Hanshin Tigers     CL
12         Mombetsu Keito   5   0   2   0    0   0    0   54   12.0   15   1    8   4    0   0   2   8   6    4.50   3.84   4.06   1.58   64  118    112    0.66   1.9%  14.8%   7.4%    7.4%  19  L      Hanshin Tigers     CL
13         Murakami Shoki  25   7  11   0    0   2    0  635  153.2  143   7  130  33    2   2   5  57  44    2.58   2.67   3.27   1.15  111   82     90   -0.09   1.1%  20.5%   5.2%   15.3%  26  R      Hanshin Tigers     CL
14            Nishi Junya   4   0   1   0    0   0    0   28    6.2    5   0    0   3    1   0   0   2   2    2.70   4.44   5.87   1.20  106  136    161   -1.74   0.0%   0.0%  10.7%  -10.7%  22  R      Hanshin Tigers     CL
15             Nishi Yuki  21   6   7   0    0   1    1  511  124.2  113   5   71  23    2   5   0  39  31    2.24   3.14   3.86   1.09  128   96    106   -0.90   1.0%  13.9%   4.5%    9.4%  33  R      Hanshin Tigers     CL
16         Ohtake Koutaro  24  11   7   0    0   0    0  587  144.2  134   8   91  33    1   1   1  47  45    2.80   3.25   3.81   1.15  103  100    105   -0.45   1.4%  15.5%   5.6%    9.9%  29  L      Hanshin Tigers     CL
17       Okadome Hidetaka  35   1   0   1    6   0    0  163   38.0   36   1   24  11    1   2   0  16  12    2.84   3.19   4.00   1.24  101   98    110   -0.35   0.6%  14.7%   6.7%    8.0%  24  R      Hanshin Tigers     CL
18         Oyokawa Masaki   9   1   3   0    0   1    0  121   29.1   25   2   23  10    1   0   2  11   9    2.76   3.43   3.73   1.19  104  105    102   -0.67   1.7%  19.0%   8.3%   10.7%  23  L      Hanshin Tigers     CL
19           Saiki Hiroto  25  13   3   0    0   4    3  671  167.2  140   4  137  38    2   0   4  35  34    1.83   2.44   3.32   1.06  157   75     91   -0.61   0.6%  20.4%   5.7%   14.7%  25  R      Hanshin Tigers     CL
20              Satoh Ren   1   0   0   0    0   0    0    3    1.0    0   0    1   0    0   0   0   0   0    0.00   1.09   1.47   0.00  999   33     40   -1.09   0.0%  33.3%   0.0%   33.3%  26  R      Hanshin Tigers     CL
21       Shimamoto Hiroya  33   2   1   0    6   0    0  113   25.2   27   1   10  10    0   1   1   9   8    2.81   4.10   4.80   1.44  102  126    132   -1.29   0.9%   8.8%   8.8%    0.0%  31  L      Hanshin Tigers     CL
22       Takahashi Haruto   5   4   1   0    0   0    0  114   29.2   20   0   28   4    0   1   1   5   5    1.52   1.71   2.69   0.81  189   53     74   -0.19   0.0%  24.6%   3.5%   21.1%  28  L      Hanshin Tigers     CL
23             Tomida Ren  33   0   1   0    4   0    0  142   35.2   26   1   22   5    1   2   1   7   3    0.76   2.81   3.60   0.87  378   86     99   -2.05   0.7%  15.5%   3.5%   12.0%  22  L      Hanshin Tigers     CL
