Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Inoue Kouta,110,467,432,49,96,22,1,11,153,70,4,1,0,3,150,24,1,8,7,0.222,0.274,0.354,0.628,81,0.132,0.310,39.6%,32.1%,5.1%,0.16,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itayama Yutaro,85,317,273,37,67,16,2,5,102,30,4,7,2,2,72,39,0,1,6,0.245,0.340,0.374,0.714,106,0.129,0.313,36.6%,22.7%,12.3%,0.54,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takatera Nozomu,90,360,318,55,89,14,4,3,120,44,14,6,7,2,63,32,0,1,3,0.280,0.346,0.377,0.723,108,0.097,0.339,27.2%,17.5%,8.9%,0.51,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hayashi Kota,102,399,360,25,78,15,0,2,99,27,1,0,1,4,92,32,1,2,7,0.217,0.281,0.275,0.556,62,0.058,0.281,31.6%,23.1%,8.0%,0.35,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nirasawa Yuya,98,375,344,32,82,11,1,2,101,23,2,1,10,2,43,18,0,1,12,0.238,0.277,0.294,0.571,66,0.056,0.266,16.8%,11.5%,4.8%,0.42,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Kobukata Daichi,96,376,331,33,91,14,2,3,118,43,2,3,3,2,79,39,0,1,9,0.275,0.351,0.356,0.707,109,0.081,0.351,32.2%,21.0%,10.4%,0.49,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Tanabe Hayato,80,290,256,29,66,16,1,2,90,38,1,0,10,3,73,18,0,3,4,0.258,0.311,0.352,0.663,96,0.094,0.348,32.1%,25.2%,6.2%,0.25,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Akihiro Yuto,109,393,356,53,98,20,2,9,149,38,0,0,0,3,61,29,0,5,14,0.275,0.336,0.419,0.755,117,0.144,0.308,25.2%,15.5%,7.4%,0.48,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Matsumoto Yu,86,299,267,33,70,10,2,13,123,57,2,1,1,3,51,25,0,3,6,0.262,0.329,0.461,0.790,125,0.199,0.277,29.8%,17.1%,8.4%,0.49,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
Ikeda Ryoma,103,383,327,34,78,13,1,4,105,32,1,1,0,2,77,52,1,2,7,0.239,0.345,0.321,0.666,98,0.082,0.298,34.7%,20.1%,13.6%,0.68,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
Kita Ryoto,105,400,378,44,92,11,4,7,132,33,5,5,0,2,83,17,1,3,11,0.243,0.280,0.349,0.629,85,0.106,0.293,26.8%,20.8%,4.2%,0.20,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
Watanabe Haruto,79,344,294,29,76,8,3,1,93,26,13,9,8,3,50,34,0,5,5,0.259,0.342,0.316,0.658,95,0.057,0.305,24.7%,14.5%,9.9%,0.68,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
Hirasawa Taiga,88,354,291,54,81,17,2,5,117,39,4,5,1,3,72,54,0,5,4,0.278,0.397,0.402,0.799,131,0.124,0.350,37.0%,20.3%,15.3%,0.75,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Nishikawa Ryosuke,91,331,304,31,84,25,0,8,133,48,1,0,0,7,86,19,0,1,6,0.276,0.314,0.438,0.752,115,0.162,0.350,34.1%,26.0%,5.7%,0.22,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Nishimaki Kenji,97,298,248,36,60,13,0,2,79,17,18,7,9,0,47,35,0,6,4,0.242,0.349,0.319,0.668,93,0.077,0.291,28.2%,15.8%,11.7%,0.74,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Yamamoto Daito,79,302,276,41,65,11,1,12,114,34,3,4,0,0,68,22,1,4,10,0.236,0.301,0.413,0.714,104,0.177,0.270,33.8%,22.5%,7.3%,0.32,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Sunagawa Richard,93,375,315,58,73,15,1,29,177,84,0,2,1,2,115,45,1,12,4,0.232,0.348,0.562,0.910,159,0.330,0.254,50.4%,30.7%,12.0%,0.39,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
Kurokawa Fumiya,94,416,367,53,96,20,1,6,136,50,7,1,6,3,65,37,0,3,5,0.262,0.332,0.371,0.703,104,0.109,0.301,26.0%,15.6%,8.9%,0.57,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
Ogoh Yuya,98,309,254,44,67,11,4,4,98,34,14,3,8,3,46,42,0,2,2,0.264,0.369,0.386,0.755,120,0.122,0.304,29.8%,14.9%,13.6%,0.91,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
Watanabe Kento,97,350,299,28,55,11,0,10,96,30,6,1,1,2,93,42,1,6,8,0.184,0.295,0.321,0.616,77,0.137,0.227,41.4%,26.6%,12.0%,0.45,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
