Rank,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,,Team,League
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,24,12,4,0,0,3,3,633,163.1,121,8,132,25,4,7,2,38,38,2.09,2.57,3.11,0.89,138,81,87,-0.48,1.3%,20.9%,3.9%,16.9%,38.7%,15.8%,77.9%,10.8%,28.0%,90.8,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,23,12,6,0,0,3,2,614,151.2,118,6,117,44,3,1,1,27,27,1.60,2.83,3.61,1.07,180,89,101,-1.23,1.0%,19.1%,7.2%,11.9%,42.0%,12.6%,78.9%,10.0%,27.0%,93.3,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/53155151.html>Morishita Masato</a>,22,6,14,0,0,3,0,622,152.1,140,6,92,37,3,5,1,53,42,2.48,3.10,3.92,1.16,124,92,110,-0.62,1.0%,14.8%,5.9%,8.8%,52.0%,11.8%,82.2%,8.7%,25.7%,91.1,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11415134.html>Tokoda Hiroki</a>,25,9,11,0,0,6,3,686,168.2,148,13,101,39,3,1,4,57,53,2.83,3.48,3.90,1.11,109,103,109,-0.65,1.9%,14.7%,5.7%,9.0%,47.2%,12.5%,82.1%,8.3%,28.0%,88.9,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51155136.html>Azuma Katsuki</a>,23,14,8,0,0,2,0,622,155.1,134,14,120,23,0,5,0,46,35,2.03,3.13,3.24,1.01,150,94,91,-1.10,2.3%,19.3%,3.7%,15.6%,46.6%,14.5%,79.8%,9.9%,30.8%,88.7,29,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/43745159.html>Jackson Andre</a>,24,10,7,0,0,0,0,612,144.2,129,8,104,53,4,9,7,45,38,2.36,3.53,3.97,1.26,129,106,111,-1.17,1.3%,17.0%,8.7%,8.3%,53.3%,12.6%,79.2%,9.7%,27.1%,94.2,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715159.html>Kay Anthony</a>,22,9,6,0,0,1,1,568,147.0,105,7,120,35,2,3,1,28,28,1.71,2.73,3.30,0.95,178,82,93,-1.02,1.2%,21.1%,6.2%,15.0%,57.7%,15.8%,75.7%,11.8%,28.9%,94.5,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/03305153.html>Yamasaki Iori</a>,23,11,4,0,0,1,0,598,151.1,116,9,130,33,6,5,4,36,32,1.90,2.77,3.18,0.98,154,86,89,-0.87,1.5%,21.7%,5.5%,16.2%,55.2%,16.0%,77.1%,10.8%,28.4%,91.9,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Giants.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6227"" />",<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/21225137.html>Matsuba Takahiro</a>,23,7,11,0,0,1,0,595,145.2,136,9,61,37,1,7,1,45,44,2.72,3.84,4.40,1.19,103,125,123,-1.12,1.5%,10.3%,6.2%,4.0%,50.4%,12.1%,85.5%,6.5%,26.1%,84.3,34,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Dragons.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6225"" />",<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/61265153.html>Takahashi Hiroto</a>,25,7,10,0,0,3,2,659,165.0,139,11,131,45,2,5,9,55,52,2.84,3.15,3.49,1.12,98,103,98,-0.31,1.7%,19.9%,6.8%,13.1%,56.7%,15.8%,74.0%,12.7%,26.9%,94.5,22,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Dragons.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6225"" />",<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
